"","expt","n","Year","Date","DN","Site","PlantType","Tissue","OI","Sample","Sample2","nomatch","Bag","Pump","End","NumFlrs","NumBuds","NumLeaf","PumpID","SoilVWC","SoilDepth","Comments","Collector","LeafDryWtGrams","n.f","Filename","Lead","Year.f","Expt","Temp","PlantType.f","Type","Sample.f","nomatch.f","DNLeaf","SampleDate_text","SampleDate_format","RunDate_text","RunDate","GCOrder","vial","lost","chamber","plant","Equil","Duration","location_time","Temp.f","Total","Pump_datehour","year","time","mean_temp_C_control","mean_temp_C_OTC","mean_intensity_lux_control","mean_intensity_lux_OTC","OTC_diff_C","OTC_diff_lux","mean_temp_C_treatment"
"11","otc",165,2018,2018-07-25,"day","GNA","agg","flower","in","CW-D1","D1",NA,10:15:00,10:45:00,11:00:00,1,0,NA,"DRC2",NA,NA,NA,"Alex",NA,122,"NatAreaD1DJul25_08302018.qgd","NatAreaD1DJul25",2018,"otc",NA,"agg","NatArea","D1D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,31.4414
"12","otc",166,2018,2018-07-25,"day","GNA","agg","flower","in","CW-D2","D2",NA,10:20:00,10:50:00,11:05:00,1,0,NA,"DRC3",NA,NA,NA,"Alex",NA,123,"NatAreaD2DJul25_08302018.qgd","NatAreaD2DJul25",2018,"otc",NA,"agg","NatArea","D2D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,31.4414
"13","otc",169,2018,2018-07-25,"day","GNA","agg","flower","in","CW-D3","D3",NA,11:20:00,11:50:00,12:05:00,1,0,NA,"DRC2",NA,NA,"flr fell off when pump started, also needed to retie bag","Alex",NA,124,"NatAreaD3DJul25_08302018.qgd","NatAreaD3DJul25",2018,"otc",NA,"agg","NatArea","D3D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 12:00:00,2018,18,22.224,26.189,2726.86666666667,2927.82,3.965,200.953333333333,26.189
"14","otc",197,2018,2018-07-25,"day","GNA","agg","flower","in","CW-E1","E1",NA,10:10:00,10:40:00,10:55:00,1,1,NA,"DRC1",3.9,1.174,NA,"Amanda",NA,126,"NatAreaE1DJul25_08302018.qgd","NatAreaE1DJul25",2018,"otc",NA,"agg","NatArea","E1D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,31.4414
"15","otc",199,2018,2018-07-25,"day","GNA","agg","flower","in","CW-E2","E2",NA,11:05:00,13:35:00,11:50:00,1,1,NA,"DRC1",3.5,1.168,NA,"Amanda",NA,127,"NatAreaE2DJul25_08302018.qgd","NatAreaE2DJul25",2018,"otc",NA,"agg","NatArea","E2D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,9000,-6300,NA,NA,2700,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,12.4164
"16","otc",200,2018,2018-07-25,"day","GNA","agg","flower","in","CW-E3","E3",NA,11:09:00,11:39:00,11:55:00,1,1,NA,"DRC8",4.4,1.184,NA,"Amanda",NA,128,"NatAreaE3DJul25_08302018.qgd","NatAreaE3DJul25",2018,"otc",NA,"agg","NatArea","E3D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,960,NA,NA,2760,2018-07-25 12:00:00,2018,18,22.224,26.189,2726.86666666667,2927.82,3.965,200.953333333333,26.189
"17","otc",183,2018,2018-07-25,"day","GNA","agg","flower","in","KM10-A1","KM10A1",NA,09:41:00,10:12:00,10:27:00,1,0,NA,"DRC5",4.2,1.182,NA,"Rachel",NA,130,"NatAreaKM10A1Jul25_08302018.qgd","NatAreaKM10A1Jul25",2018,"otc",NA,"agg","NatArea","KM10A1",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1860,900,NA,NA,2760,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,21.6946
"18","otc",184,2018,2018-07-25,"day","GNA","agg","flower","in","KM10-B1","KM10B1","0",10:13:00,10:43:00,10:58:00,1,0,NA,"DRC5",3.7,1.171,NA,"Rachel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,31.4414
"19","otc",185,2018,2018-07-25,"day","GNA","agg","flower","in","KM10-B2","KM10B2",NA,10:26:00,10:56:00,11:09:00,1,0,NA,"DRC6",2.6,1.149,NA,"Rachel",NA,131,"NatAreaKM10B2renamedJuly25_08312018.qgd","NatAreaKM10B2renamedJuly25",2018,"otc",NA,"agg","NatArea","KM10B2",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,780,NA,NA,2580,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,31.4414
"20","otc",188,2018,2018-07-25,"day","GNA","agg","flower","in","KM10-C1","KM10C1",NA,12:58:00,13:28:00,13:43:00,1,0,NA,"DRC5",4.5,1.186,NA,"Rachel",NA,132,"NatAreaKM10C1Jul25_08302018.qgd","NatAreaKM10C1Jul25",2018,"otc",NA,"agg","NatArea","KM10C1",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 13:00:00,2018,19,16.33075,17.5024,879.066666666667,964.48,1.17165,85.4133333333334,17.5024
"21","otc",186,2018,2018-07-25,"day","GNA","agg","flower","in","KM10-C2","KM10C2",NA,10:55:00,11:22:00,11:37:00,1,0,NA,"DRC5",5.4,1.204,NA,"Rachel",NA,133,"NatAreaKM10C2Jul25_08302018.qgd","NatAreaKM10C2Jul25",2018,"otc",NA,"agg","NatArea","KM10C2",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1620,900,NA,NA,2520,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,31.4414
"22","otc",177,2018,2018-07-25,"day","GNA","agg","flower","in","KM10-D1","KM10D1",NA,13:32:00,14:02:00,14:17:00,1,0,NA,"DRC4",2.7,1.153,NA,"Jocelyn",NA,134,"NatAreaKM10D1renamedJuly25_08312018.qgd","NatAreaKM10D1renamedJuly25",2018,"otc",NA,"agg","NatArea","KM10D1",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,12.4164
"23","otc",189,2018,2018-07-25,"day","GNA","agg","flower","in","KM14-A1","KM14A1",NA,13:18:00,13:49:00,14:04:00,1,0,NA,"DRC4",1.3,1.125,NA,"Rachel",NA,142,"NatAreaKM14A1renamedJuly25_08312018.qgd","NatAreaKM14A1renamedJuly25",2018,"otc",NA,"agg","NatArea","KM14A1",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1860,900,NA,NA,2760,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,12.4164
"24","otc",191,2018,2018-07-25,"day","GNA","agg","flower","in","KM14-C1","KM14C1",NA,13:58:00,14:28:00,14:44:00,1,0,NA,"DRC4",2.1,1.139,NA,"Rachel",NA,143,"NatAreaKM14C1renamedJuly25_08312018.qgd","NatAreaKM14C1renamedJuly25",2018,"otc",NA,"agg","NatArea","KM14C1",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,960,NA,NA,2760,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,12.4164
"25","otc",192,2018,2018-07-25,"day","GNA","agg","flower","in","CW-X02","X02",NA,14:04:00,14:34:00,14:49:00,1,0,NA,"DRC4",3.1,1.159,NA,"Rachel",NA,146,"NatAreaX02DJul25_08302018.qgd","NatAreaX02DJul25",2018,"otc",NA,"agg","NatArea","X02D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 15:00:00,2018,21,8.86425,9.3112,0,0,0.446949999999999,0,9.3112
"26","otc",161,2018,2018-07-25,"day","GNA","air","air","air","AIR1","Air1",NA,08:45:00,09:15:00,09:30:00,NA,NA,NA,"DRC2",NA,NA,"outside A","Alex",NA,37,"Air1renamedJuly25_08312018.qgd","Air1renamedJuly25",2018,"otc",NA,"agg","Air","1",NA,NA,"July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 09:00:00,2018,15,27.4855,34.1296,5740.76666666667,5683.34,6.64410000000001,-57.4266666666663,27.4855
"27","otc",164,2018,2018-07-25,"day","GNA","air","air","air","AIR2","Air2",NA,09:40:00,10:10:00,10:25:00,NA,NA,NA,"DRC3",NA,NA,"outside A","Alex",NA,39,"Air2renamedJuly25_08312018.qgd","Air2renamedJuly25",2018,"otc",NA,"agg","Air","2",NA,NA,"July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,19.16425
"28","otc",168,2018,2018-07-25,"day","GNA","air","air","air","AIR3","Air3",NA,11:13:00,11:43:00,11:58:00,NA,NA,NA,"DRC3",NA,NA,"outside D & E","Alex",NA,42,"Air3renamedJuly25_08312018.qgd","Air3renamedJuly25",2018,"otc",NA,"agg","Air","3",NA,NA,"July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 12:00:00,2018,18,22.224,26.189,2726.86666666667,2927.82,3.965,200.953333333333,22.224
"29","otc",175,2018,2018-07-25,"day","GNA","agg","flower","out","CW-112","112",NA,10:57:00,11:27:00,11:42:00,1,0,NA,"DRC4",4.6,1.188,"near KM10","Jocelyn",NA,100,"NatArea112renamedJuly25_08312018.qgd","NatArea112renamedJuly25",2018,"otc",NA,"agg","NatArea","112",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,26.50325
"30","otc",176,2018,2018-07-25,"day","GNA","agg","flower","out","CW-114","114",NA,13:02:00,13:32:00,13:47:00,1,0,NA,"DRC4",4.8,1.191,"near KM10","Jocelyn",NA,136,"NatAreaKM114renamedJuly25_08312018.qgd","NatAreaKM114renamedJuly25",2018,"otc",NA,"agg","NatArea","KM114",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,11.56125
"31","otc",160,2018,2018-07-25,"day","GNA","agg","flower","out","CW-116","116",NA,08:40:00,09:10:00,09:25:00,1,0,NA,"DRC3",3.7,1.171,"outside A","Alex",NA,101,"NatArea116DJul25_08302018.qgd","NatArea116DJul25",2018,"otc",NA,"agg","NatArea","116D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 09:00:00,2018,15,27.4855,34.1296,5740.76666666667,5683.34,6.64410000000001,-57.4266666666663,27.4855
"32","otc",170,2018,2018-07-25,"day","GNA","agg","flower","out","CW-120","120",NA,09:09:00,09:39:00,09:54:00,1,0,NA,"DRC5",2.4,1.147,"outside C","Jocelyn",NA,103,"NatArea120renamedJuly25_08312018.qgd","NatArea120renamedJuly25",2018,"otc",NA,"agg","NatArea","120",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,19.16425
"33","otc",171,2018,2018-07-25,"day","GNA","agg","flower","out","CW-136","136",NA,09:29:00,09:59:00,10:14:00,1,0,NA,"DRC4",4.7,1.189,"outside C","Jocelyn",NA,105,"NatArea136DJul25_08302018.qgd","NatArea136DJul25",2018,"otc",NA,"agg","NatArea","136D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,19.16425
"34","otc",167,2018,2018-07-25,"day","GNA","agg","flower","out","CW-20","20",NA,10:40:00,11:10:00,11:25:00,1,0,NA,"DRC2",2.7,1.152,"outside D & E","Alex",NA,107,"NatArea20DJul25_08302018.qgd","NatArea20DJul25",2018,"otc",NA,"agg","NatArea","20D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,26.50325
"35","otc",198,2018,2018-07-25,"day","GNA","agg","flower","out","CW-219","219",NA,10:20:00,10:50:00,11:05:00,1,1,NA,"DRC8",4.1,1.179,"outside E","Amanda",NA,108,"NatArea219DJul25_08302018.qgd","NatArea219DJul25",2018,"otc",NA,"agg","NatArea","219D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,26.50325
"36","otc",162,2018,2018-07-25,"day","GNA","agg","flower","out","CW-320","320",NA,09:08:00,09:38:00,09:53:00,1,0,NA,"DRC3",4.2,1.181,"outside A","Alex",NA,109,"NatArea320DJul25_08302018.qgd","NatArea320DJul25",2018,"otc",NA,"agg","NatArea","320D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,19.16425
"37","otc",172,2018,2018-07-25,"day","GNA","agg","flower","out","CW-69","69",NA,09:55:00,10:25:00,10:40:00,1,0,NA,"DRC4",5.6,1.206,"near KM10","Jocelyn",NA,112,"NatArea69DJul25_08302018.qgd","NatArea69DJul25",2018,"otc",NA,"agg","NatArea","69D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,19.16425
"38","otc",193,2018,2018-07-25,"day","GNA","agg","flower","in","CW-B1","B1",NA,08:43:00,09:13:00,09:28:00,1,0,NA,"DRC4",1.9,1.137,"outside B","Amanda",NA,116,"NatAreaB1DJul25_08302018.qgd","NatAreaB1DJul25",2018,"otc",NA,"agg","NatArea","B1D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 09:00:00,2018,15,27.4855,34.1296,5740.76666666667,5683.34,6.64410000000001,-57.4266666666663,34.1296
"39","otc",195,2018,2018-07-25,"day","GNA","agg","flower","in","CW-B2","B2",NA,09:47:00,10:17:00,10:32:00,1,0,NA,"DRC1",4.3,1.182,"outside B","Amanda",NA,117,"NatAreaB2DJul25_08302018.qgd","NatAreaB2DJul25",2018,"otc",NA,"agg","NatArea","B2D",NA,"day","Jul25","Jul 25 2018",8302018,2018-08-30,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 10:00:00,2018,16,19.16425,21.6946,1725.8,1997.8,2.53035,272,21.6946
"40","otc",190,2018,2018-07-25,"day","GNA","agg","flower","out","KM-1401","KM1401",NA,13:24:00,13:54:00,14:09:00,1,0,NA,"DRC5",1.9,1.137,"near KM14","Rachel",NA,141,"NatAreaKM1401renamedJuly25_08312018.qgd","NatAreaKM1401renamedJuly25",2018,"otc",NA,"agg","NatArea","KM1401",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,11.56125
"41","otc",179,2018,2018-07-25,"day","GNA","agg","flower","out","KM-1402","KM1402",NA,13:49:00,14:19:00,14:34:00,1,0,NA,"DRC4",4,1.178,"near KM14","Jocelyn",NA,106,"NatArea1402renamedJuly25_08312018.qgd","NatArea1402renamedJuly25",2018,"otc",NA,"agg","NatArea","1402",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 14:00:00,2018,20,11.56125,12.4164,215.266666666667,254.02,0.855149999999998,38.7533333333333,11.56125
"42","otc",173,2018,2018-07-25,"day","GNA","agg","leaf","out","CW-69leaf","69",NA,10:17:00,10:47:00,11:02:00,NA,NA,NA,"DRC4",NA,NA,"near KM10","Jocelyn",NA,113,"NatArea69leafrenamedJuly25_08312018.qgd","NatArea69leafrenamedJuly25",2018,"otc",NA,"agg","NatArea","69",NA,"leaf","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-25 11:00:00,2018,17,26.50325,31.4414,8037.06666666667,6785.62,4.93815,-1251.44666666667,26.50325
"43","otc",159,2018,2018-07-26,"day","GNA","agg","flower","in","CW-D3","D3",NA,13:17:00,13:47:00,14:02:00,1,0,NA,"DRC5",3.4,1.165,"bud opened since yesterday","Amanda & Carrie",NA,125,"NatAreaD3July26_08312018.qgd","NatAreaD3July26",2018,"otc",NA,"agg","NatArea","D3",NA,"day","July26","Jul 26 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-26 14:00:00,2018,20,11.2175,12.2482,419.766666666667,467.16,1.0307,47.3933333333333,12.2482
"44","otc",149,2018,2018-07-26,"day","GNA","agg","flower","in","KM11-B1","KM11B1","NR",11:02:00,11:33:00,11:48:00,1,0,NA,"DRC8",3.3,1.163,"BROKE TUBE","Amanda & Carrie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860,900,NA,NA,2760,2018-07-26 12:00:00,2018,18,22.984,27.2806,1187.6,1272.3,4.2966,84.7,27.2806
"45","otc",150,2018,2018-07-26,"day","GNA","agg","flower","in","KM11-C1","KM11C1",NA,11:25:00,11:59:00,13:14:00,1,1,NA,"DRC4",4.1,1.189,NA,"Amanda & Carrie",NA,137,"NatAreaKM11C1renamedJuly26_08312018.qgd","NatAreaKM11C1renamedJuly26",2018,"otc",NA,"agg","NatArea","KM11C1",NA,"day","July26","Jul 26 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,2040,4500,NA,NA,6540,2018-07-26 12:00:00,2018,18,22.984,27.2806,1187.6,1272.3,4.2966,84.7,27.2806
"46","otc",154,2018,2018-07-26,"day","GNA","agg","flower","in","KM11-C2","KM11C2",NA,12:16:00,12:46:00,13:01:00,1,0,NA,".",3.8,1.174,NA,"Amanda & Carrie",NA,102,"NatArea11C2July26_08312018.qgd","NatArea11C2July26",2018,"otc",NA,"agg","NatArea","11C2",NA,"day","July26","Jul 26 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1800,900,NA,NA,2700,2018-07-26 13:00:00,2018,19,16.63925,18.493,922.1,1039.8,1.85375,117.7,18.493
"47","otc",155,2018,2018-07-26,"day","GNA","agg","flower","in","KM13-A1","KM13A1",NA,12:23:00,12:55:00,13:10:00,1,0,NA,".",3.4,1.166,"flr fell off when started pump","Amanda & Carrie",NA,138,"NatAreaKM13A1July26_08312018.qgd","NatAreaKM13A1July26",2018,"otc",NA,"agg","NatArea","KM13A1",NA,"day","July26","Jul 26 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1920,900,NA,NA,2820,2018-07-26 13:00:00,2018,19,16.63925,18.493,922.1,1039.8,1.85375,117.7,18.493
"48","otc",156,2018,2018-07-26,"day","GNA","agg","flower","in","KM13-B1","KM13B1",NA,12:46:00,13:07:00,13:22:00,1,0,NA,"DRC5",4.1,1.179,NA,"Amanda & Carrie",NA,139,"NatAreaKM13B1renamedJuly25_08312018.qgd","NatAreaKM13B1renamedJuly25",2018,"otc",NA,"agg","NatArea","KM13B1",NA,"day","July25","Jul 25 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1260,900,NA,NA,2160,2018-07-26 13:00:00,2018,19,16.63925,18.493,922.1,1039.8,1.85375,117.7,18.493
"49","otc",157,2018,2018-07-26,"day","GNA","agg","flower","in","KM13-C1","KM13C1",NA,12:48:00,13:10:00,13:25:00,1,0,NA,"DRC4",4.1,1.17,"flr fell off when started pump; bag open on bottom","Amanda & Carrie",NA,140,"NatAreaKM13C1July26_08312018.qgd","NatAreaKM13C1July26",2018,"otc",NA,"agg","NatArea","KM13C1",NA,"day","July26","Jul 26 2018",8312018,2018-08-31,NA,NA,NA,NA,NA,1320,900,NA,NA,2220,2018-07-26 13:00:00,2018,19,16.63925,18.493,922.1,1039.8,1.85375,117.7,18.493
