name,class,mean,max,match.var,match,RT.var,RT,filter_RT,filter_match,filter_contaminant,filter_area,filter_ambient_ratio,ambient_ratio,filters_passed,filter_final
1-Methylpyrazol-4-amine,,8979,179153,7.48E-04,0.76,3.25E-04,6.878,OK,Low,OK,Low,OK,Inf,3,FALSE
1-Nitro-2-propanone,,8405,137248,0.00316,0.815,0.009459211111,1.607,Low,OK,OK,Low,AmRatioFail,1.36,2,FALSE
1-Nonanol,,482550,8066950,0.00257,0.93,0.1397068,11.071,OK,OK,OK,OK,OK,Inf,5,FALSE
1-Nonene,,47994,971806,0.0011,0.81,0.3747083611,6.369,OK,OK,OK,Low,AmRatioFail,1.95,3,FALSE
1-Octadecanesulphonyl chloride,,8777,300517,0.00107,0.76,0.0888968,15.5,High,Low,OK,Low,AmRatioFail,0.26,1,FALSE
"1-Octanol, 2-butyl-",,31833,727445,0.00208,0.865,1.461730567,9.283,OK,OK,OK,Low,AmRatioFail,0.93,3,FALSE
"1-Octanol, 3,7-dimethyl-, (S)-",,0,0,NA,0.83,NA,4.835,OK,OK,OK,Low,AmRatioFail,0.00,3,FALSE
"1-Octene, 7-methyl-",,414,25232,NA,0.77,NA,10.519,OK,Low,OK,Low,OK,Inf,3,FALSE
"1-Pentanol, 4-methyl-",,4076,248645,NA,0.93,NA,5.978,OK,OK,OK,Low,OK,Inf,4,FALSE
"1-Pentanol, trifluoroacetate",,2245,55556,0.0022,0.75,0.0039367,3.687,Low,Low,OK,Low,OK,Inf,2,FALSE
"1-Propanol, 2-(2-hydroxypropoxy)-",,1218,30751,0.002533333333,0.81,6.70E-05,8.995,OK,OK,OK,Low,OK,Inf,4,FALSE
"1-Propanol, 2-methyl-",,12182,156690,0.002001111111,0.84,0.0030436,2.383,Low,OK,OK,Low,AmRatioFail,1.11,2,FALSE
"1-Propanol, 2,2'-oxybis-",,1905,53583,8.00E-04,0.79,8.92E-05,9.003,OK,Low,OK,Low,AmRatioFail,0.90,2,FALSE
"1-Propanone, 1-(3-cyclohexen-1-yl)-2,2-dimethyl-",,2691,91353,3.33E-05,0.765,7.66E-04,6.291,OK,Low,OK,Low,AmRatioFail,0.35,2,FALSE
"1-Propen-2-ol, acetate",,9713,119161,0.002541025641,0.78,2.21E-04,1.674,Low,Low,OK,Low,OK,Inf,2,FALSE
1-Tetracosene,,63158,1164982,0.00283,0.825,1.611422167,22.0835,High,OK,OK,Low,OK,Inf,3,FALSE
1-Tetradecene,,160778,775430,8.01E-04,0.94,0.2060854884,14.21,OK,OK,OK,Low,AmRatioFail,1.10,3,FALSE
1-Undecanol,,73506,1212006,0.001414619883,0.85,0.5226748187,13.951,OK,OK,OK,Low,AmRatioFail,1.17,3,FALSE
"1,1,1,3,5,7,9,11,11,11-Decamethyl-5-(trimethylsiloxy)hexasiloxane",,1013,61788,NA,0.71,NA,15.404,High,Low,OK,Low,OK,Inf,2,FALSE
"1,13-Tetradecadien-3-one",,58086,568930,9.91E-04,0.77,0.6259657132,16.654,High,Low,OK,Low,OK,4.23,2,FALSE
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",,247274,5628889,0.006592857143,0.81,0.1220856429,19.7365,High,OK,OK,OK,OK,3.67,4,FALSE
"1,2-Cyclopentanedione",,97879,777863,0.002077647059,0.87,1.89E-04,6.969,OK,OK,OK,Low,AmRatioFail,1.93,3,FALSE
"1,2-Ethanediol, 1-(2-furanyl)-",,4884,297953,NA,0.77,NA,11.921,OK,Low,OK,Low,OK,Inf,3,FALSE
"1,2,4,5-Tetrazine, hexahydro-1,2,4,5-tetramethyl-",,379,23118,NA,0.73,NA,7.377,OK,Low,OK,Low,OK,Inf,3,FALSE
"1,3-Dioctanoin",,11103,677297,NA,0.7,NA,22.54,High,Low,OK,Low,OK,Inf,2,FALSE
"1,3-Dioxolane, 4-ethyl-",,0,0,NA,0.71,NA,2.467,Low,Low,OK,Low,AmRatioFail,0.00,1,FALSE
"1,3-Propanediol, ethyl tetracosyl ether",,30171,1840453,NA,0.77,NA,21.562,High,Low,OK,Low,OK,Inf,2,FALSE
"1,3,5-Cyclohexanetriamine",,852,51951,NA,0.72,NA,10.878,OK,Low,OK,Low,OK,Inf,3,FALSE
"1,3,5-Triazine-2,4,6-triamine",,66443,2320140,5.00E-05,0.825,1.80E-05,9.673,OK,OK,OK,Low,OK,Inf,4,FALSE
"1,3,5-Trifluorobenzene",,17652,231820,0.002936111111,0.83,0.00590975,2.315,Low,OK,OK,Low,OK,Inf,3,FALSE
"1,4-Butanediol",,12037,330825,0.006321111111,0.825,5.33E-04,7.3535,OK,OK,OK,Low,OK,Inf,4,FALSE
"1,4-Dioxan-2-ol",,4631,207045,0.005,0.77,1.1085605,3.6495,Low,Low,OK,Low,OK,Inf,2,FALSE
"1,5-Dimethyl-1-vinyl-4-hexenyl butyrate",,110624,4272812,4.27E-04,0.76,0.1966333667,8.3385,OK,Low,OK,OK,OK,3.81,4,FALSE
"1,5-Hexadiene, 2,5-dimethyl-",,1571,95817,NA,0.79,NA,4.069,OK,Low,OK,Low,OK,Inf,3,FALSE
"1,7-Octadien-3-one, 2-methyl-6-methylene-",,12676,320668,0.00162,0.77,3.12E-05,10.617,OK,Low,OK,Low,OK,Inf,3,FALSE
11-Methyldodecanol,,0,0,2.00E-04,0.86,5.978882,11.451,OK,OK,OK,Low,AmRatioFail,0.00,3,FALSE
13-Methylheptacosane,,28474,915613,2.00E-04,0.8,1.81E-04,21.1395,High,OK,OK,Low,OK,Inf,3,FALSE
13-Methyltetradecanal,,211226,1353158,0.001152153846,0.9,4.012020966,13.075,OK,OK,OK,Low,AmRatioFail,2.37,3,FALSE
2-(1-Adamantyl)-N-benzylglycine,,8640,271214,2.00E-04,0.76,2.45E-05,12.2675,OK,Low,OK,Low,OK,Inf,3,FALSE
2-[(Trimethylsilyl)oxy]-2-{4-[(trimethylsilyl)oxy]phenyl}ethanamine,,591035,2615437,3.45E-04,0.78,0.1622380235,10.7805,OK,Low,OK,Low,AmRatioFail,0.77,2,FALSE
"2-Benzoyl-3,4-acetone-d-galactosan",,3233,96931,6.33E-04,0.73,3.33E-07,13.771,OK,Low,OK,Low,OK,Inf,3,FALSE
2-Butanone,,160472,632184,0.001105414398,0.91,0.2273291978,2.1505,Low,OK,OK,Low,AmRatioFail,1.40,2,FALSE
"2-Butanone, 1-(acetyloxy)-",,0,0,NA,0.79,NA,2.941,Low,Low,OK,Low,AmRatioFail,0.00,1,FALSE
"2-Butanone, 3-methyl-",,395,24096,NA,0.76,NA,2.913,Low,Low,OK,Low,OK,Inf,2,FALSE
"2-Butanone, 3,3-dimethyl-",,1387,84616,NA,0.84,NA,4.799,OK,OK,OK,Low,OK,Inf,4,FALSE
"2-Butenal, 3-methyl-",,74777,518524,0.00160952381,0.885,0.001164919913,4.475,OK,OK,OK,Low,AmRatioFail,1.08,3,FALSE
"2-Butenoic acid, (E)-",,14246,113907,0.002454761905,0.8,0.0730082619,5.161,OK,OK,OK,Low,AmRatioFail,1.84,3,FALSE
2-Butenoyl chloride,,3501,117126,0.008066666667,0.845,1.16E-04,3.423,Low,OK,OK,Low,AmRatioFail,1.68,2,FALSE
2-Cyclohexen-1-ol,,1930,62787,8.00E-04,0.76,5.00E-07,6.8525,OK,Low,OK,Low,OK,Inf,3,FALSE
"2-Cyclohexen-1-one, 2-(2-methyl-2-propenyl)-",,6169,307592,0,0.71,4.50E-06,13.6905,OK,Low,OK,Low,OK,Inf,3,FALSE
2-Cyclopenten-1-one,,32036,358121,0.00134537037,0.88,0.001456744709,5.36,OK,OK,OK,Low,AmRatioFail,2.64,3,FALSE
2-Decanone,,117435,1607005,0.002202645503,0.81,3.34E-05,11.41,OK,OK,OK,Low,AmRatioFail,1.03,3,FALSE
2-Dodecanone,,96636,578099,0.002146327684,0.79,5.24766676,14.2525,OK,Low,OK,Low,AmRatioFail,0.69,2,FALSE
"2-Dodecenal, (E)-",,7035,191962,5.70E-04,0.86,0.6329772,9.283,OK,OK,OK,Low,AmRatioFail,0.20,3,FALSE
2-Ethyl-1-dodecanol,,984,60032,0.0032,0.85,8.00E-06,16.473,High,OK,OK,Low,AmRatioFail,0.06,2,FALSE
2-Ethyl-1-hexanol,,1033243,6307901,8.97E-05,0.96,7.26E-05,8.7895,OK,OK,OK,OK,AmRatioFail,0.64,4,FALSE
2-Ethyl-3-vinyloxirane,,16558,614355,0.007933333333,0.78,0.002567583333,3.2455,Low,Low,OK,Low,OK,Inf,2,FALSE
2-Ethylhexyl salicylate,,560850,6480566,0.002046693657,0.89,2.91E-05,19.234,High,OK,OK,OK,AmRatioFail,1.32,3,FALSE
2-Ethylhexyl trans-4-methoxycinnamate,,684946,3268704,0.001359935897,0.895,8.97E-06,22.331,High,OK,OK,OK,AmRatioFail,1.92,3,FALSE
2-Fluoro-3-(trifluoromethyl)phenol,,830,50609,NA,0.71,NA,9.635,OK,Low,OK,Low,OK,Inf,3,FALSE
2-Heptanone,,0,0,NA,0.82,NA,5.597,OK,OK,OK,Low,AmRatioFail,0.00,3,FALSE
"2-Heptanone, 3-methyl-",,11387,460403,0.00435,0.85,3.7825708,2.305,Low,OK,OK,Low,AmRatioFail,0.33,2,FALSE
2-Hexadecanone,,5884,358953,NA,0.76,NA,19.95,High,Low,OK,Low,OK,Inf,2,FALSE
"2-Hexen-1-ol, (Z)-",,2112,50911,0.00397,0.82,9.02E-05,5.93,OK,OK,OK,Low,OK,Inf,4,FALSE
"2-Hexen-1-ol, acetate, (Z)-",,31469,617471,7.00E-04,0.84,6.15E-04,5.7545,OK,OK,OK,Low,OK,Inf,4,FALSE
2-Hexenal,,19416,300850,0.0017,0.92,0.65618125,5.683,OK,OK,OK,Low,AmRatioFail,0.60,3,FALSE
2-Isopropyl-5-methyl-1-heptanol,,112498,2713456,0.00289002849,0.87,3.277563618,13.177,OK,OK,OK,Low,AmRatioFail,2.69,3,FALSE
2-Methoxybenzoic acetic anhydride,,19340,560724,5.37E-04,0.785,1.38E-05,14.625,OK,Low,OK,Low,OK,Inf,3,FALSE
2-Methylhentriacontane,,33535,399203,0.002214285714,0.83,0.005471333333,22.372,High,OK,OK,Low,OK,Inf,3,FALSE
2-Methylheptacosane,,16818,565681,0.00125,0.765,0.051842,21.28,High,Low,OK,Low,OK,Inf,2,FALSE
2-Methylhexacosane,,490325,6799757,0.002918719212,0.81,3.732913436,21.13,High,OK,OK,OK,OK,3.27,4,FALSE
2-Methylpentacosane,,70672,1056673,0.003548421053,0.9,0.6641285684,23.699,High,OK,OK,Low,AmRatioFail,1.01,2,FALSE
2-Methyltetracosane,,81346,1329906,0.0024,0.83,17.12583318,15.2825,High,OK,OK,Low,OK,3.42,3,FALSE
2-Methyltriacontane,,30066,499408,0.001026666667,0.82,6.218640967,22.4575,High,OK,OK,Low,OK,Inf,3,FALSE
2-Nonadecanone,,48514,720126,8.70E-04,0.855,3.172417982,17.9545,High,OK,OK,Low,AmRatioFail,1.98,2,FALSE
2-Nonanone,,32159,391357,0.001356842105,0.815,3.53E-05,9.8365,OK,OK,OK,Low,AmRatioFail,0.33,3,FALSE
"2-Nonenal, (E)-",,228041,942145,0.001650508788,0.91,0.01039378261,10.914,OK,OK,OK,Low,AmRatioFail,1.09,3,FALSE
2-Octanone,,10696,405341,3.33E-05,0.86,1.52E-04,8.14,OK,OK,OK,Low,OK,Inf,4,FALSE
"2-Pentanol, 3-chloro-4-methyl-, (R*,S*)-(.+/-.)-",,7961,274465,9.00E-04,0.81,0.0599937,4.416,OK,OK,OK,Low,AmRatioFail,1.23,3,FALSE
"2-Pentanol, 4-methyl-",,8262,385843,0.00245,0.875,0.046818,3.607,Low,OK,OK,Low,OK,Inf,3,FALSE
"2-Penten-1-ol, (Z)-",,530,21442,4.50E-04,0.845,8.00E-06,4.257,OK,OK,OK,Low,OK,Inf,4,FALSE
2-Pentylcyclopentanone,,23950,729245,5.90E-04,0.815,5.58E-05,12.1885,OK,OK,OK,Low,OK,Inf,4,FALSE
"2-Piperidinone, N-[4-bromo-n-butyl]-",,3758,229257,NA,0.83,NA,10.489,OK,OK,OK,Low,OK,Inf,4,FALSE
"2-Propanol, 1-(hexadecyloxy)-",,30642,1869145,NA,0.78,NA,21.641,High,Low,OK,Low,OK,Inf,2,FALSE
"2-Propanol, 1-chloro-, phosphate (3:1)",,14758,120200,8.81E-04,0.74,4.55E-06,19.161,High,Low,OK,Low,AmRatioFail,0.65,1,FALSE
"2-Propanol, 1,1'-oxybis-",,1811,47404,9.67E-04,0.825,1.71E-04,8.694,OK,OK,OK,Low,AmRatioFail,0.89,3,FALSE
"2-Propanone, 1-hydroxy-",,110560,2596974,0.003468571429,0.87,0.3420984,2.752,Low,OK,OK,Low,AmRatioFail,1.93,2,FALSE
"2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester",,2826,172385,NA,0.88,NA,3.46,Low,OK,OK,Low,OK,Inf,3,FALSE
"2-Propenoic acid, 2-methyl-, pentyl ester",,719,43854,NA,0.8,NA,2.783,Low,OK,OK,Low,OK,Inf,3,FALSE
"2-Propenoic acid, octyl ester",,7172,238916,4.50E-04,0.815,4.50E-06,6.9735,OK,OK,OK,Low,OK,Inf,4,FALSE
2-Propyl-1-pentanol,,5211,222628,5.00E-05,0.935,8.00E-06,8.803,OK,OK,OK,Low,OK,Inf,4,FALSE
2-Pyrrolidinone,,32135,477110,9.16E-04,0.82,0.01235956364,9.607,OK,OK,OK,Low,AmRatioFail,1.42,3,FALSE
"2-Tridecenal, (E)-",,84817,3639785,0.003828571429,0.85,0.2264182857,12.243,OK,OK,OK,OK,OK,8.56,5,FALSE
2-Undecanone,,148324,2432884,0.002708157895,0.805,5.576081516,12.142,OK,OK,OK,Low,OK,Inf,4,FALSE
"2-Undecanone, 6,10-dimethyl-",,15465,727682,0.001733333333,0.84,0.9520493333,9.827,OK,OK,OK,Low,OK,Inf,4,FALSE
2-Undecenal,,607717,6249437,0.002426771196,0.91,0.1048343513,13.8655,OK,OK,OK,OK,AmRatioFail,1.03,4,FALSE
2-Vinylfuran,,61748,2370080,0.002633333333,0.84,2.59E-04,7.992,OK,OK,OK,Low,AmRatioFail,0.33,3,FALSE
"2(3H)-Furanone, 5-dodecyldihydro-",,459517,4257926,0.002227439024,0.81,2.905439844,20.635,High,OK,OK,OK,AmRatioFail,0.40,3,FALSE
"2(3H)-Furanone, 5-heptyldihydro-",,29786,246944,0.001650793651,0.81,2.20E-05,16.5855,High,OK,OK,Low,AmRatioFail,2.13,2,FALSE
"2(3H)-Furanone, 5-hexyldihydro-",,5498,161076,0.00107,0.755,3.99E-05,16.5885,High,Low,OK,Low,OK,Inf,2,FALSE
"2(3H)-Furanone, dihydro-4-hydroxy-",,12234,746303,NA,0.9,NA,10.941,OK,OK,OK,Low,OK,Inf,4,FALSE
"2(3H)-Furanone, dihydro-5-tetradecyl-",,479738,6397251,0.001995866935,0.84,0.2221293387,22.304,High,OK,OK,OK,AmRatioFail,1.71,3,FALSE
2(5H)-Furanone,,81957,835598,0.003598941799,0.825,1.475479619,6.786,OK,OK,OK,Low,AmRatioFail,2.48,3,FALSE
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,76076,1127388,9.07E-04,0.91,1.21E-05,16.865,High,OK,OK,Low,AmRatioFail,0.83,2,FALSE
"2,3-Dimethyl-1-hexene",,2139,130468,NA,0.75,NA,9.915,OK,Low,OK,Low,OK,Inf,3,FALSE
